id,uuid,url,photo_url,date,title,alt_title,creator,subject,back_id,back_text,back_text_source,address,source,geolocatable,user_notes,latLng,location,lastQuery,borough
713053f,10025be0-c543-012f-16b6-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-069c-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=713053f&t=w,,Manhattan: 42nd Street (West) - Broadway,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': []}",713053b,140 West 42nd Street adjoining the S.E. corner of Broadway. Shown is the street level only of the Coral Gables Building that was devoted to sales of “Floridian” property of that name near Miami. About 1926,site,"42nd Street (West) & Broadway, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",Locatable,,"{""latLng"": ""40.755822,-73.98644""}","[40.755822, -73.98644]",,Manhattan
2040770,b955e050-c6be-012f-a8b6-58d385a7bc34,https://digitalcollections.nypl.org/items/a44288b4-9c00-b31f-e040-e00a18060314,https://images.nypl.org/?id=2040770&t=w,"1900, 1999",Anniversary Day -- Clinton Avenue,,,"{'name': [], 'temporal': [], 'geographic': ['Brooklyn (New York, N.Y.)', 'New York', 'New York (State)'], 'topic': ['Buildings', 'Celebrations', 'Streets']}",,,,,Photographs of Brooklyn,Maybe,"Clinton Avenue isn't very long, but there's no cross street.",,null,,
711182f,ed54f760-c53f-012f-422e-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-f7fc-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=711182f&t=w,1938,Manhattan: 13th Street (West) - Greenwich Avenue,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Jackson Square Park (New York, N.Y.)', 'Manhattan (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Parks']}",711182b,"West 13th Street, east from Greenwich Avenue, showing both sides of this thoroughfare. The photographers vantage point is east of Jackson Square, that triangular park on the east side of Eighth Avenue. The apartment shown on the right and left foreground are No's. 234 and 243 respectively.

July 31, 1938.

P. L. Sperr",site,"13th Street (West) & Greenwich Avenue, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",Locatable,,"{""latLng"": ""40.738768,-74.002443""}","[40.738768, -74.002443]",,Manhattan
728828f,60de6680-c55b-012f-458a-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-81c6-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=728828f&t=w,1925,Richmond: Flagg Place - Toot Hill Road,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['New York', 'New York (N.Y.)', 'New York (State)', 'Staten Island (New York, N.Y.)'], 'topic': ['Farms', 'Windmills']}",728828b,"(1)
 Flagg Place, west side between Todt Hill Road and Westerntry Road, showing the Ernest Flagg Farm. The windmill appears in the center background.

 P. L. Sperr

(2)
 A close view of the windmill.

 P. L. Sperr",gpt,"Flagg Place & Toot Hill Road, Staten Island, NY","Photographic views of New York City, 1870's-1970's / Staten Island",Locatable,"Flagg Place & Todt Hill Road, Staten Island, NY, USA","{""latLng"":""40.5831897,-74.112172""}",null,,Staten Island
1516919,a579ed20-c5cf-012f-1cec-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47e2-1464-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=1516919&t=w,"1887, 1986",Social conditions: tenements,['Building exterior (front) and sidewalk'],,"{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)'], 'topic': ['Buildings, structures, etc.']}",1516920,,,,"Photographic views of New York City, 1870's-1970's, from the collections of the New York Public Library. Supplement.  / Topics",Not Locatable,,,null,,
729022f,adef5160-c55b-012f-b8f4-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-834a-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=729022f&t=w,,Richmond: Innis Street - John Street,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)', 'Staten Island (New York, N.Y.)'], 'topic': []}",729022b,"Innis Street, north side, west from John Street.
March 24, 1928.
P. L. Sperr,
",site,"Innis Street & John Street, Staten Island, NY","Photographic views of New York City, 1870's-1970's / Staten Island",Locatable,,"{""latLng"": ""40.634257,-74.14409""}","[40.634257, -74.14409]",,Staten Island
720079f,04110bb0-c54e-012f-1f76-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-3d75-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=720079f&t=w,1936,Manhattan: Grand Street - Lafayette Street,,,"{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Courthouses']}",720079b,"146 Grand Street (left) at the N.W. corner of Lafayette (Elm) Street. Shown on the right are Nos. 174 and 176 Lafayette Street, adjoining and
north of the corner.
1936.
W.P.A. Photo.
Federal Art Project.
",site,"Grand Street & Lafayette Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",Locatable,,"{""latLng"":""40.7200442,-73.9990705""}","[40.720034, -73.99908]",Grand Street & Lafayette Street,Manhattan
720096f,0af91a10-c54e-012f-6df1-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-3d97-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=720096f&t=w,1931,Manhattan: Grand Street - Allen Street,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)', 'Spring Creek (New York, N.Y.)'], 'topic': ['Road construction']}",720096b,"Grand Street, south side, east from but not including Allen, to, but not including Orchard Street, as seen through clearance at the N.E. corner of Allen Street, for the widening of Allen Street.

October 12, 1931.

P. L. Sperr.
",site,"Grand Street & Allen Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",Locatable,,"{""latLng"":""40.717270155039934,-73.99094128703307""}","[40.717384, -73.991467]",,Manhattan
1507739,c0318f70-c5ce-012f-43d4-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47e1-feff-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=1507739&t=w,1941-03,12th Street (West) #130,,,"{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)'], 'topic': ['Buildings, structures, etc.']}",1507740,,,"12th Street (West) #130, Manhattan, NY","Photographic views of New York City, 1870's-1970's, from the collections of the New York Public Library. Supplement.  / Manhattan",Locatable,"Just an address, not clear if it's still the same place.","{""latLng"":""40.7363695,-73.99888039999999""}","[40.736375, -73.99891]",130 W 12th St,Manhattan
713115f,2a11abe0-c543-012f-f38e-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-0718-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=713115f&t=w,1932,Manhattan: 42nd Street - 10th Avenue,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Restaurants']}",713115b,"42nd Street, north side, west from and including Tenth Avenue.
February 5, 1932.
P. L. Sperr.
",site,"42nd Street & 10th Avenue, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",Locatable,,"{""latLng"": ""40.75965,-73.995474""}","[40.75965, -73.995474]",,Manhattan
712656f,6566ceb0-c542-012f-b8ca-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-0386-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=712656f&t=w,1923,Manhattan: 40th Street (West) - 5th Avenue,,Peyser and Patzig,"{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Building construction']}",712656b,"Foundation work and shoring on the American Radiator Building. 38-44 West 40th Street, south side, between Fifth and Sixth Avenues.
August 20, 1923.
Peyser & Patzig.
",site,"40th Street (West) & 5th Avenue, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",Locatable,,"{""latLng"":""40.752787,-73.98380700000001""}","[40.7522, -73.981834]","38 West 40th Street, New York, NY, USA",Manhattan
702720f,8f539ba0-c532-012f-2554-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-c24e-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=702720f&t=w,"1904, 1922",Brooklyn: 35th Street (East) - Avenue R,,,"{'name': [], 'temporal': [], 'geographic': ['Brooklyn (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Croplands', 'Farmhouses']}",702720b,"East 35th Street, south of Ave. R, nearoStoemnEill Highway and Garretsen Inlet or Creek, showing the JohahNs Lott house, built
in 1773-76, torn down in 1905.
1904.
Eugene L. Armbruster Collection.
(2)
The same, showing land belonging to the Johannes Lott farm.
1922.
Eugene L. Armbruster Collection.
(3)
The same, another view of the farm.
1922.
Eugene L. Armbruster Collection.
",site,"35th Street (East) & Avenue R, Brooklyn, NY","Photographic views of New York City, 1870's-1970's / Brooklyn",Locatable,,"{""latLng"":""40.612333819167944,-73.93572427116393""}","[40.612513, -73.935735]",,Brooklyn
704508f,52461240-c535-012f-8777-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-d042-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=704508f&t=w,1942,Brooklyn: Fulton Street - Hudson Avenue,,,"{'name': [], 'temporal': [], 'geographic': ['Brooklyn (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Newspaper vendors', 'Variety stores']}",704508b,"Fulton Street and Hudson Avenue, n.w. corner
Brooklyn

7/21/42

Neg. A-315",site,"Fulton Street & Hudson Avenue, Brooklyn, NY","Photographic views of New York City, 1870's-1970's / Brooklyn",Locatable,,"{""latLng"":""40.68875789389966,-73.9803562883606""}","[40.688644, -73.980249]",,Brooklyn
723965f,2d281510-c554-012f-03a9-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-5bd2-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=723965f&t=w,1934,Manhattan: Wall Street - South Street,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Banks']}",723965b,"Wall Street, west from, but not including South Street. Note the Bank of Manhattan Building,(40 Wall Street) towering over all.
October 14, 1934.
P. L. Sperr.
",site,"Wall Street & South Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",Locatable,"40 Wall St is mentioned in the description, but it's actually quite distant.","{""latLng"":""40.704371232008455,-74.00646549336243""}","[40.704237, -74.006315]",40 Wall St,Manhattan
727133f,c0201980-c558-012f-938e-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-7487-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=727133f&t=w,,Queens: Justice Avenue - 54th Avenue,,,"{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)', 'Queens (New York, N.Y.)'], 'topic': []}",727133b,"Justice Avenue, north side, partially in the southern street line of Fifty-fourth Avenue, showing four views of the Dr. H. Holt house of 1873. One Thompson was the owner about 1891. This house was still standing in November 1933 and was occupied by Dr. A.C. Combes.

D. J. Patten was the owner in 1852.

January 1923
Views 2&3: March 1923
View 4: May 1923

Eugene L. Armbruster Collection",site,"Justice Avenue & 54th Avenue, Queens, NY","Photographic views of New York City, 1870's-1970's / Queens",Locatable,,"{""latLng"":""40.736966482474266,-73.87504315211487""}","[40.736999, -73.875247]",,Queens
711506f,72890450-c540-012f-e1ad-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-fa89-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=711506f&t=w,1932,Manhattan: 10th Avenue - 44th Street,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Cobblestone streets', 'Restaurants']}",711506b,"18th Street, south side, east from and including Tenth Avenue.
July 16, 1932.
P. L. Sperr.
TTH:RED7 5r0
PUBLICL.ERAR1
",site,"10th Avenue & 44th Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",Locatable,"The cross-street in the title is incorrect. It's 18th street, not 44th street.","{""latLng"":""40.744467765411365,-74.00612887178038""}","[40.760934, -73.994531]",,Manhattan
1507953,e525f6c0-c5ce-012f-b104-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47e1-ffd5-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=1507953&t=w,1947-09-23,47th Street (East) #231 - Second Avenue looking east,,,"{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)'], 'topic': ['Buildings, structures, etc.']}",1507954,,,"47th Street (East) #231 - Second Avenue looking east, Manhattan, NY","Photographic views of New York City, 1870's-1970's, from the collections of the New York Public Library. Supplement.  / Manhattan",Locatable,,"{""latLng"":""40.753105659103085,-73.96996002380371""}","[40.752992, -73.96988]",231 E 47th St,Manhattan
708560f,aa4b41a0-c53b-012f-45d9-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-e380-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=708560f&t=w,1936,Manhattan: 5th Avenue - 33rd Street,,,"{'name': ['Empire State Building (New York, N.Y.)'], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Night photography']}",708560b,"Fifth Ave., west side, between 33rd and 34th Streets. Shown is the Empire State Building at night as seen from the Chanin Building (122 East
42nd Street).
1936.
W.P.A. Photo
Federal Writers Project.
",site,"5th Avenue & 33rd Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",Locatable,"The cross-streets are for the Empire State building, not the location where the photo is taken from.","{""latLng"":""40.7484842657162,-73.98561917063904""}","[40.747769, -73.985072]",,Manhattan
706699f,b3d0a460-c538-012f-b0ec-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-b445-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=706699f&t=w,"1937, 1940",Brooklyn: Sheepshead Bay,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Brooklyn (New York, N.Y.)', 'Manhattan Beach (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)', 'Sheepshead Bay (New York, N.Y.)'], 'topic': ['Beaches']}",706699b,,,"Sheepshead Bay., Brooklyn, NY","Photographic views of New York City, 1870's-1970's / Brooklyn",Locatable,"Most-precise location is ""Manhattan Beach""","{""latLng"":""40.576283759303266,-73.94379219157102""}",null,Manhattan Beach,Brooklyn
704820f,d2887b90-c535-012f-3a0b-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-d2b2-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=704820f&t=w,1922,Brooklyn: Henry Street - Middagh Street,,,"{'name': [], 'temporal': [], 'geographic': ['Brooklyn (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Markets', 'Meat', 'Warehouses']}",704820b,"Henry Street, at the N.E. corner of Middagh Street, showing a 2-story building, used at various intervals as a meat market, and as a central distributing point for ice.
1922.
Eugene L. Armbruster Collection.
",site,"Henry Street & Middagh Street, Brooklyn, NY","Photographic views of New York City, 1870's-1970's / Brooklyn",Locatable,,"{""latLng"":""40.70008753556121,-73.99157615211487""}","[40.700055, -73.99178]",,Brooklyn
3984737,7b7a2a00-c5d7-012f-afee-58d385a7bc34,https://digitalcollections.nypl.org/items/b4afdefd-4add-146a-e040-e00a180610a2,https://images.nypl.org/?id=3984737&t=w,,"Tenements & vacant storefronts; Jay Bee Syrup Co.: 3426 [street unknown], Bronx",,New York (N.Y.). Tenement House Dept.,"{'name': [], 'temporal': ['1930-1939'], 'geographic': ['New York', 'New York (State)'], 'topic': ['Tenement houses']}",,,,,Photographs taken by inspectors of the New York City Tenement House Department / Vol. 4,Maybe,No obvious information about Jay Bee Syrup Co in the Bronx,,null,,
700941f,f3061a70-c52f-012f-a80c-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-a7c3-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=700941f&t=w,"1928, 1935",Bronx: Tremont Avenue (East - Silver Street,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Bronx (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Methodist Episcopal churches']}",700941b,"East Tremont Ave., north side, between Silver Street and Haight Ave., showing the Westchester Methodist Episcopal Church (the low
structure in the center).
August 3, 1928.
P. L. Sperr.
(2)
The same, at a later date.
August 25, 1935.
P. L. Sperr.
",site,"Tremont Avenue (East & Silver Street, Bronx, NY","Photographic views of New York City, 1870's-1970's / Bronx",Locatable,"Haight Avenue does not intersect East Tremont Ave., at least not any more.","{""latLng"":""40.8432344588248,-73.8474252465229""}","[40.843063, -73.848073]",,Bronx
700523f,6207df60-c52f-012f-86f6-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-a47f-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=700523f&t=w,1931,Bronx: Boston Road - 173rd Street (East),,,"{'name': [], 'temporal': [], 'geographic': ['Bronx (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Educational facilities', 'Public schools']}",700523b,"Bostxn Road, west side, between E.173rd Street and Suburban Place, showing the library in the Hermann Ridder Junior UHigh School(P.S.
98).
Board ot Education of the City of New York
Credit Line Imperative  Vecember, 1931
",site,"Boston Road & 173rd Street (East), Bronx, NY","Photographic views of New York City, 1870's-1970's / Bronx",Locatable,,"{""latLng"":""40.83618368624727,-73.89059326085206""}","[40.836163, -73.889814]",Boston Road & East 173rd Street,Bronx
3985087,e10327b0-c5d7-012f-5819-58d385a7bc34,https://digitalcollections.nypl.org/items/b4afdefd-4c3b-146a-e040-e00a180610a2,https://images.nypl.org/?id=3985087&t=w,,"Tenement row, Upper East Side: Manhattan",,New York (N.Y.). Tenement House Dept.,"{'name': [], 'temporal': ['1930-1939'], 'geographic': ['New York', 'New York (State)'], 'topic': ['Tenement houses']}",,,,,Photographs taken by inspectors of the New York City Tenement House Department / Vol. 7,Maybe,"Possible that there's some writing on the bottom. Or maybe there's additional information about what the ""18377"" means?",,null,,
706405f,4487e770-c538-012f-30a3-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-b1f9-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=706405f&t=w,,Brooklyn: Putnam Avenue - Irving Place,,,"{'name': [], 'temporal': [], 'geographic': ['Brooklyn (New York, N.Y.)', 'New York (N.Y.)'], 'topic': []}",706405b,"South side of Putnam Ave., east of Irving Pl., B'klyn. ",site,"Putnam Avenue & Irving Place, Brooklyn, NY","Photographic views of New York City, 1870's-1970's / Brooklyn",Locatable,,"{""latLng"":""40.68287532006393,-73.95948259259033""}","[40.682916, -73.959783]",,Brooklyn
716833f,e5e5bce0-c548-012f-4b1e-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-241d-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=716833f&t=w,1904,Manhattan: Broad Street - Wall Street,,,"{'name': ['New York Stock Exchange'], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Stock exchanges']}",716833b,"Broad Street, adjoining the S.W. corner of Wall Street, showing the facade of the New York Stock Exchange
Building.
The center figure represents ""Integrity."" On the right the groups represent ""Frimitive Agriculture and the Products of the Soil' and ""Mining.' On the loft, ""votive Power, Scientific and Mechanical Appliances"" and ""the
Designer and Mechanic.""
This appeared in the Evening Mail Illustrated Saturday Magazine of June 18, 1904 several days after
the unveiling ceremonies.
June, 1904
Gift of Urbrock Collection
NVEG ~ EE35
",site,"Broad Street & Wall Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",Locatable,"subject/name: New York Stock Exchange
","{""latLng"":""40.7068758,-74.01126479999999""}","[40.70713, -74.010723]",New York Stock Exchange,Manhattan
