id,uuid,url,photo_url,date,title,alt_title,creator,subject,back_id,back_text,back_text_source,address,source,location
701467f,b6da9630-c530-012f-c74d-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-abd3-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=701467f&t=w,"1911, 1915",Bronx: Montgomery Avenue - 176th Street (West),[],,"{'name': [], 'temporal': [], 'geographic': ['Bronx (New York, N.Y.)', 'Mount Fordham (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Dwellings', 'estates']}",701467b,"(1) 1770 Montgomery Ave., east side, between West 176th Street and West Tremont Ave., showing ""Mount Fordham"", the Lewis G. Morris Mansion. It was built about 1830 and demolished between 1915 and 1924. The G.W. Bromley map of 1924 as revised to September 1932 shows the site to be occupied by a 6-story apartment house bearing the above number. The exact spot of ""Mount Fordham"" is the north rear wall of the apartment house and the twenty-five foot yard adjoining it.

1911.
Gift of Randall Comfort.

(2) The same, at a later date.

1915.
",gpt,"Montgomery Avenue & 176th Street (West), Bronx, NY","Photographic views of New York City, 1870's-1970's / Bronx","[40.849635, -73.919356]"
104951,06b167b0-c5ef-012f-c20a-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47d9-ca8b-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=104951&t=w,,"Campus, Augustinian Academy Staten Island, N.Y.",[],,"{'name': [], 'temporal': [], 'geographic': ['Staten Island (New York, N.Y.)'], 'topic': []}",,,,"Campus, Augustinian Academy Staten Island, N.Y.",Staten Island post cards / Schools (Private),null
703901f,5f8f5ef0-c534-012f-5998-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-cb84-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=703901f&t=w,,Brooklyn: Cropsey Avenue - 25th Avenue,[],,"{'name': [], 'temporal': [], 'geographic': ['Brooklyn (New York, N.Y.)', 'New York (N.Y.)'], 'topic': []}",703901b,"Cropsey Ave., west from Twenty-fifth Ave., to its junction with Harway Ave.

March 1925.

Eugene L. Armbruster Collection.
",gpt,"Cropsey Avenue & 25th Avenue, Brooklyn, NY","Photographic views of New York City, 1870's-1970's / Brooklyn","[40.592312, -73.993152]"
1509943,52418370-c5cf-012f-82c4-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47e2-079a-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=1509943&t=w,,Flushing Meadow Park,"[""World's Fair, 1964-65: Sierra Leone Pavilion""]",,"{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)'], 'topic': ['Buildings, structures, etc.']}",1509944,,,"Flushing Meadow Park, Queens, NY","Photographic views of New York City, 1870's-1970's, from the collections of the New York Public Library. Supplement.  / Queens",null
733341f,7d6c3520-c562-012f-4b34-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-a4f0-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=733341f&t=w,1934,Strikes and demonstrations - [Retail freshwater fish dealers - Fulton fish market.],[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Fulton Fish Market (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Fish', 'Fishmongers', 'Markets', 'Strikes and lockouts']}",733341b,"A lull in the Fulton Fish Market retail fresh water fish dealers strike.
April 3, 1934.

P. L. Sperr.
",gpt,,"Photographic views of New York City, 1870's-1970's / Topics",null
719523f,1b099960-c54d-012f-280c-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-391d-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=719523f&t=w,1940,Manhattan: East River Drive - 89th Street,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Corlears Hook Park (New York, N.Y.)', 'Franklin Delano Roosevelt Drive (New York, N.Y.)', 'Manhattan (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)', 'Williamsburg Bridge (New York, N.Y.)'], 'topic': ['Parks', 'Road construction']}",719523b,"East River Drive, at Corlears Hook Park and northeast-ward showing constructional details of this section below the Williamsburg Bridge. The section above is completed at this date and open to vehicles.

April 7, 1940
No's. 1-2-3

P. L. Sperr
",gpt,"East River Drive & 89th Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",null
731432f,87c4e020-c55f-012f-b2da-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-9619-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=731432f&t=w,"1936, 1937",Colleges and Universities - Columbia University.,['[Manhattan: Amsterdam Avenue - 116th Street.]'],"Sperr, Percy Loomis","{'name': ['Columbia University'], 'temporal': [], 'geographic': ['New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Universities & colleges']}",731432b,"(1) Columbia University: A view of Kent Hall, (N.W. corner of Amsterdam Ave., at West 116th Street). Also shown across 116th (right), is Hamilton Hall (S.W. corner). The building on the left partially shown, is the Philosophy Building. 1936.

Walter L. Bogert.

(2) Another view of Kent Hall, as seen looking eastward on West 116th Street. On the right appears a portion of Hamilton Hall which is on the S.W. corner.

September 3, 1937.

P. L. Sperr.
",gpt,"Columbia University., Manhattan, NY","Photographic views of New York City, 1870's-1970's / Topics",null
700226f,f7ca1d30-c52e-012f-db19-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-a22d-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=700226f&t=w,1940,Bronx: 177th Street - Broadway,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Bronx (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Elevated railroads', 'Railroad stations']}",700226b,"177 Street, e. fr. Bronx Park ""el"" sta.
P. L. Sperr, photographer
June 30, 1940
",gpt,"177th Street & Broadway, Bronx, NY","Photographic views of New York City, 1870's-1970's / Bronx",null
723577f,8e091d60-c553-012f-e813-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-58ca-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=723577f&t=w,"1929, 1933",Manhattan: Trinity Place - Cedar Street,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)', 'Sixth Avenue (New York, N.Y.)'], 'topic': ['Educational facilities', 'Elevated railroads', 'Religious education', 'Restaurants']}",723577b,"(1) Trinity Place, west side, at and adjoining the S.W. corner of Cedar Street, showing the St. Peter's (R.C.) Girl's School. Also shown (foreground) is a portion of the Sixth Ave. Elevated Line.

August 20, 1929.

P. L. Sperr.

(2) The same, showing a view farther south.

June 2, 1933.

P. L. Sperr.

(3) The same, from a different angle, viewing northward.

June 4, 1933.

P. L. Sperr.
",gpt,"Trinity Place & Cedar Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan","[40.709313, -74.011955]"
3984254,064d8710-c5d7-012f-2782-58d385a7bc34,https://digitalcollections.nypl.org/items/b4afdefd-48fa-146a-e040-e00a180610a2,https://images.nypl.org/?id=3984254&t=w,,"Vacant tenements: 55 Canal St. Orchard St, Manhattan",[],New York (N.Y.). Tenement House Dept.,"{'name': [], 'temporal': ['1930-1939'], 'geographic': ['New York', 'New York (State)'], 'topic': ['Tenement houses']}",,,,,Photographs taken by inspectors of the New York City Tenement House Department / Vol. 1,null
717708f,408bfd60-c54a-012f-bd9c-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-2af1-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=717708f&t=w,1937,Manhattan: Broadway - 114th Street (West),[],"Sperr, Percy Loomis","{'name': ['Columbia University'], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Apartment houses', 'Universities & colleges']}",717708b,"(1) Broadway, north from West 114th Street, showing on the west side (left), three apartment houses the Luxor, Regnor and Rexor that face units of Columbia University (right). The latter in the order of their appearance are: Furnald Hall, the School of Journalism, the School for Business and the School of Mines.

September 3, 1937.

P. L. Sperr.

(2) A view solely of the University Building and grounds. Note the gabled house, at the N.E. corner of Broadway and West 114th Street.

September 3, 1937.

P. L. Sperr.

(3) A detail of No. 2, showing the aforementioned cottage. On the extreme right appears a portion of South Hall and Library.

September 3, 1937.

P. L. Sperr.
",gpt,"Broadway & 114th Street (West), Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan","[40.80667, -73.964768]"
704900f,f2429890-c535-012f-041f-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-d352-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=704900f&t=w,1941,Brooklyn: Heyward Street - Bedford Avenue,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Brooklyn (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Automobile dealerships']}",704900b,"Heyward Street (left), at the northeast corner of Bedford Avenue.

P. L. Sperr

April 12, 1941
",gpt,"Heyward Street & Bedford Avenue, Brooklyn, NY","Photographic views of New York City, 1870's-1970's / Brooklyn","[40.700836, -73.957427]"
728864f,6ef3dbf0-c55b-012f-8ea6-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-820e-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=728864f&t=w,1927,Richmond: Four Corners Road - Benedict Road,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)', 'Staten Island (New York, N.Y.)'], 'topic': ['Garages']}",728864b,"(1)
Four Corners Road, east side, between Benedict Road and St. James Avenue, showing the Alfred King residence.

P.L. Sperr

Summer 1927

(2)
The rear of the King residence.

P.L. Sperr

Summer 1927.

(3)
A view of the garage to the A. King home.

P.L. Sperr

Summer 1927.
",gpt,"Four Corners Road & Benedict Road, Staten Island, NY","Photographic views of New York City, 1870's-1970's / Staten Island","[40.591327, -74.107581]"
730517f,1e48c9e0-c55e-012f-8cd1-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-8ef9-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=730517f&t=w,,Advertisements - [Advertising signs.],['[Manhattan: 42nd Street - 7th Avenue ; Eltinge Burlesque Theatre.]'],"Volnar, Victor","{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)'], 'topic': []}",730517b,,,42nd Street and 7th Avenue,"Photographic views of New York City, 1870's-1970's / Topics",null
722768f,3371c3c0-c552-012f-42d5-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-5277-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=722768f&t=w,1911,Manhattan: Riverside Drive - 114th Street,[],"Tiemann, Hermann Newell","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Apartment houses']}",722768b,"Riverside Drive, at the N. E. corner of West 114th Street, showing the Althea Rudd Ward home of the 1800's. This, a family holding for more that 50 years, is in fact more than 100 years old. A newspaper clipping, dated January 5, 1911, reports the sale and proposed demolition of same for a modern 12 story apartment building. The A. C. & H. M. Hall Realty Co. is the new owner.

H. N. Tiemann, photo
Gift of Urbrock Collection

1911
",gpt,"Riverside Drive & 114th Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan","[40.807593, -73.966976]"
725527f,7a03a920-c556-012f-2744-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-6807-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=725527f&t=w,,Queens: 63rd Avenue - 96th Street,[],,"{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)', 'Queens (New York, N.Y.)'], 'topic': []}",725527b,"Sixty-third Avenue, east from 96th Street, showing at the left foreground the H. Vanderveer house of 1860. At the right is another house belonging to him in 1873.

April 1923.
View 2: March 1925

Eugene L. Armbruster Collection
",gpt,"63rd Avenue & 96th Street, Queens, NY","Photographic views of New York City, 1870's-1970's / Queens",null
700463f,4c639a90-c52f-012f-5588-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-a407-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=700463f&t=w,,Bronx: Barker Avenue - Thwaites Place,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Bronx (New York, N.Y.)', 'New York (N.Y.)'], 'topic': []}",700463b,"Barker Avenue, west side, north from Thwaites Place.

April 3, 1938.

P.L. Sperr
",gpt,"Barker Avenue & Thwaites Place, Bronx, NY","Photographic views of New York City, 1870's-1970's / Bronx","[40.858871, -73.869525]"
725697f,b26bdea0-c556-012f-4494-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-6956-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=725697f&t=w,,Queens: 86th Street - Liberty Avenue,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)', 'Queens (New York, N.Y.)'], 'topic': []}",725697b,"Q. 86th St. N. from Liberty Ave. Neg. A-81 July 23, 1941
P.L.Sperr
",gpt,"86th Street & Liberty Avenue, Queens, NY","Photographic views of New York City, 1870's-1970's / Queens","[40.679776, -73.852521]"
700970f,fcc85570-c52f-012f-6097-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-a7fd-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=700970f&t=w,1932,Bronx: Eastchester Road - Boston Road,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Bronx (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Hotels']}",700970b,"Eastchester Road, north from and including Boston Road, showing the thoroughfare in the process of construction.

November 11, 1932.

P. L. Sperr.
",gpt,"Eastchester Road & Boston Road, Bronx, NY","Photographic views of New York City, 1870's-1970's / Bronx","[40.87704, -73.846388]"
728657f,1b3e8450-c55b-012f-8206-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-8070-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=728657f&t=w,"1930, 1931",Richmond: Castleton Avenue - Bement Avenue,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)', 'Staten Island (New York, N.Y.)'], 'topic': ['Courthouses']}",728657b,"(1) Castleton Ave., at the N.E. corner of Bement Ave., showing the Magistrates' Court House. The view is westward.

P. L. Sperr.

(2) A view eastward from Bement Ave.

June 10, 1931.

P. L. Sperr.
",gpt,"Castleton Avenue & Bement Avenue, Staten Island, NY","Photographic views of New York City, 1870's-1970's / Staten Island","[40.634757, -74.11227]"
1691051,6b604c70-c6cc-012f-c53d-58d385a7bc34,https://digitalcollections.nypl.org/items/5f35a6a2-c33c-5f1c-e040-e00a18064c3c,https://images.nypl.org/?id=1691051&t=w,1925,Posters and advertisements on walls of Madison Square Garden,[],Wurts Brothers,"{'name': ['Madison Square Garden (New York, N.Y.)'], 'temporal': [], 'geographic': ['New York', 'New York (State)'], 'topic': ['Advertising fliers', 'Buildings', 'Columns', 'Posters']}",,,,,"[Photographs of Madison Square Garden. New York, 1925]",null
703189f,44f30ff0-c533-012f-fd68-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-c5f8-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=703189f&t=w,1939,Brooklyn: Shore Parkway - 20th Avenue,[],,"{'name': [], 'temporal': [], 'geographic': ['Belt Parkway (New York, N.Y.)', 'Brooklyn (New York, N.Y.)', 'Gravesend (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Road construction']}",703189b,"Belt Parkway, south from 20th Avenue, showing the highway under construction on hydraulic fill. The fill was taken from Gravesend Bay and part of the Bay filled in. In the left background is the Semken Coal pockets, at Bay 32nd Street.

May 28, 1939
Views 1,2

P. L. Sperr
",site,"Shore Parkway & 20th Avenue, Brooklyn, NY","Photographic views of New York City, 1870's-1970's / Brooklyn","[40.598125, -74.005]"
716438f,3b607200-c548-012f-aa1e-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-210d-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=716438f&t=w,,Manhattan: Bank Street - Washington Street,[],,"{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': []}",716438b,"138 Bank Street, at the S.E. corner of Washington Street, showing an abandoned 3 story structure, the demolition of which was requested by the donor of this photo on January 24, 1936. This was accomplished as W.P.A project under the supervision of the Municipal Housing Authority. The lower west side of this building appears here, same constituting Washington Street frontage.

1936

Gift of Committee on Housing
Charity Organisation Society
",site,"Bank Street & Washington Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan","[40.736186, -74.008362]"
711589f,92b41330-c540-012f-257d-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-fb2f-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=711589f&t=w,,Manhattan: 11th Avenue - 21st Street,[],,"{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Cobblestone streets', 'Freight terminals', 'Warehouses']}",711589b,"(1)
21st to 22nd Street, 11th Avenue. (Before Reconstruction).

No date.
",site,"11th Avenue & 21st Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan","[40.747507, -74.007746]"
704168f,c9ef5550-c534-012f-7320-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-cd9a-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=704168f&t=w,1932,Brooklyn: Fenimore Street - 32nd Avenue,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Brooklyn (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Methodist Episcopal churches']}",704168b,"Fenimore Street, at the S.W. corner of Rogers Ave., showing the Fenimore Street Methodist Episcopal Church.

March 29, 1932.

P. L. Sperr.
",gpt,"Fenimore Street & 32nd Avenue, Brooklyn, NY","Photographic views of New York City, 1870's-1970's / Brooklyn",null
